category,name,goal,environment,positions,levels,volume_hint,coaching_points,progression,regression,contra,rest,note,id,plyo_impact,equipment_detail
Strength Lower,B-Stance Hip Thrust,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",akuter LWS-Schmerz → Variante mit weniger Axiallast,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),b_stance_hip_thrust,,
Strength Lower,Bulgarian Split Squat,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),bulgarian_split_squat,,
Strength Lower,Front-Foot Elevated Split Squat,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),front_foot_elevated_split_squat,,
Strength Lower,Reverse Lunge,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),reverse_lunge,,
Strength Lower,Walking Lunge,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),walking_lunge,,
Strength Lower,Step-Up (niedrig),Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),step_up_niedrig,,
Strength Lower,Lateral Lunge,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),lateral_lunge,,
Strength Lower,Cossack Squat,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),cossack_squat,,
Strength Lower,Belt Squat,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),belt_squat,,
Strength Lower,Hack Squat (Maschine),Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),hack_squat_maschine,,
Strength Lower,Leg Press (kontrolliert),Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),leg_press_kontrolliert,,
Strength Lower,GHR (Glute-Ham Raise),Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),ghr_glute_ham_raise,,
Strength Lower,Nordic Curl (assistiert),Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,2–3×6–8 (langsam exzentrisch),neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Ischio akut → assistiert/isometrisch,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),nordic_curl_assistiert,,
Strength Lower,Seated Good Morning,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",akuter LWS-Schmerz → Variante mit weniger Axiallast,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),seated_good_morning,,
Strength Lower,Step-Down (kontrolliert),Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),step_down_kontrolliert,,
Strength Lower,KB Deadlift,Unterkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",akuter LWS-Schmerz → Variante mit weniger Axiallast,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),kb_deadlift,,
Strength Upper,Bench Press,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),bench_press,,
Strength Upper,Close-Grip Bench,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),close_grip_bench,,
Strength Upper,Incline Bench,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),incline_bench,,
Strength Upper,Floor Press,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),floor_press,,
Strength Upper,DB Bench,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),db_bench,,
Strength Upper,DB Neutral Press,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),db_neutral_press,,
Strength Upper,Overhead Press,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),overhead_press,,
Strength Upper,Push Press (leicht),Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),push_press_leicht,,
Strength Upper,Landmine Press,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),landmine_press,,
Strength Upper,Arnold Press,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),arnold_press,,
Strength Upper,Weighted Pull-up,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),weighted_pull_up,,
Strength Upper,Chin-up,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),chin_up,,
Strength Upper,Lat Pulldown (neutral),Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),lat_pulldown_neutral,,
Strength Upper,One-Arm DB Row,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),one_arm_db_row,,
Strength Upper,Chest-Supported Row,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),chest_supported_row,,
Strength Upper,Barbell Row (Pendlay light),Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),barbell_row_pendlay_light,,
Strength Upper,Seal Row,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),seal_row,,
Strength Upper,Cable Row,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),cable_row,,
Strength Upper,Meadows Row,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),meadows_row,,
Strength Upper,Dips (assist/weighted),Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),dips_assist_weighted,,
Strength Upper,Ring Row,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),ring_row,,
Strength Upper,Push-Up (loaded),Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),push_up_loaded,,
Strength Upper,Larsen Press,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),larsen_press,,
Strength Upper,Decline Bench,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",vordere Schulter gereizt → Griff/ROM anpassen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),decline_bench,,
Strength Upper,Face Pull,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),face_pull,,
Strength Upper,Towel Pull-Ups,Oberkörperkraft/Hypertrophie/Maxkraft,Gym,ALL,Rookie;Advanced;Pro;Elite,Main: 5×3–5 @RPE8 · Accessory: 3×8–12,neutraler Rücken | voller Fußdruck,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,Main 2–3′ / Accessory 60–90,Schwerer Fokus in Off-Strength (Erhalt in Off-Power/Pre/In-Season),towel_pull_ups,,
Olympic/Power & Medball,Hang Power Clean,Explosivkraft/Rate of Force Development,Gym;Field,ALL,Rookie;Advanced;Pro;Elite,3–4×2–3 @RPE7,schnelle Hüfte | ruhiger Catch,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,2–3′,Hauptsächlich Off-Power; Technikaufbau in Off-Foundation,hang_power_clean,,
Olympic/Power & Medball,Power Clean (Knie),Explosivkraft/Rate of Force Development,Gym;Field,ALL,Rookie;Advanced;Pro;Elite,3–4×2–3 @RPE7,schnelle Hüfte | ruhiger Catch,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,2–3′,Hauptsächlich Off-Power; Technikaufbau in Off-Foundation,power_clean_knie,,
Olympic/Power & Medball,Clean Pull,Explosivkraft/Rate of Force Development,Gym;Field,ALL,Rookie;Advanced;Pro;Elite,3–4×2–3 @RPE7,schnelle Hüfte | ruhiger Catch,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,2–3′,Hauptsächlich Off-Power; Technikaufbau in Off-Foundation,clean_pull,,
Olympic/Power & Medball,High Pull,Explosivkraft/Rate of Force Development,Gym;Field,ALL,Rookie;Advanced;Pro;Elite,3–4×2–3 @RPE7,schnelle Hüfte | ruhiger Catch,Last/Distanz/Höhe progressiv ↑,"ROM/Last/Höhe ↓, Assist nutzen",Schmerz/Instabilität → skalieren/ersetzen,2–3′,Hauptsächlich Off-Power; Technikaufbau in Off-Foundation,high_pull,,
